# 📡 Master Directory - AI Search Index
To fetch full details, request the corresponding JSON file at: https://rink-git-cron.vercel.app/api/master_directory/{ID}.json

[id] Instruments | Institute: Institution Name | Location: District | Tags: tag
[inst_100053] Universal Testing Machine | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: polymers, textiles, metallurgy, metrology
[inst_100054] High Pressure Processing (HPP) | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: food_safety, microbiology, marine_tech
[inst_100055] Colorimeter (for colour analysis) | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: food_safety, analytical_chem, metrology
[inst_100056] Oxygen Permeability Analyser | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: food_safety, polymers, analytical_chem
[inst_100057] Freeze Dryer | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: food_safety, microbiology, pharmaceuticals, cell_culture
[inst_100058] Rotary Evaporator | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: pharmaceuticals, analytical_chem, green_chem, water_quality
[inst_100059] Gloss Meter | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: surface_science, metrology, textiles, polymers
[inst_100060] UV Visible Spectrophotometer | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: food_safety, analytical_chem, water_quality, pharmaceuticals
[inst_100061] Haze meter | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: textiles, polymers, metrology, analytical_chem
[inst_100062] Colorimeter | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: food_safety, analytical_chem, water_quality
[inst_100063] Hot Air Oven | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: food_safety, microbiology, pharmaceuticals, analytical_chem
[inst_100064] Incubator | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: microbiology, cell_culture, food_safety, pharmaceuticals
[inst_100065] Band Sealing Machine | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: food_safety, textiles, pharmaceuticals
[inst_100066] Puncture Resistance Tester | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: polymers, textiles, food_safety
[inst_100067] Bursting Strength Tester | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: textiles, metrology, polymers
[inst_100068] COBB Tester | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: textiles, metrology
[inst_100069] MAP machine | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: food_safety, analytical_chem
[inst_100070] Twin screw extruder | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: food_safety, polymers, additive_mfg
[inst_100071] Twin Screw Retort | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: food_safety, marine_tech, microbiology
[inst_100072] Tray Sealing Machine | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: food_safety, pharmaceuticals, polymers, microbiology
[inst_100073] Vacuum Sealing Machine | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: food_safety, marine_tech, pharmaceuticals
[inst_100074] Steam Retort Machine | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: food_safety, marine_tech, microbiology, pharmaceuticals
[inst_100075] Foot Operated Sealing Machine | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: food_safety, pharmaceuticals, textiles
[inst_100076] Can Seamer | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: food_safety, metrology
[inst_100077] Microwave Drying Oven | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: food_safety, analytical_chem, crop_science, soil_analysis
[inst_100078] Blast Freezer | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: food_safety, pharmaceuticals, microbiology, marine_tech
[inst_100079] Spray Dryer | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: food_safety, pharmaceuticals, analytical_chem, polymers
[inst_100080] L-sealer | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: food_safety, textiles, polymers, additive_mfg
[inst_100081] Curry Filling Machine | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: food_safety
[inst_100082] Electric Dryer | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: food_safety, analytical_chem, crop_science
[inst_100083] Industrial Decanter | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: food_safety, analytical_chem, water_quality, marine_tech
[inst_100084] Feed Making Machine | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: food_safety, marine_tech, crop_science
[inst_100085] Shrink Tunnel | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: food_safety, textiles, polymers
[inst_100086] Forming Machine | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: food_safety, marine_tech, additive_mfg
[inst_100087] Boiler unit (diesel) | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: food_safety, marine_tech
[inst_100088] Flake Ice Machine | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: food_safety, marine_tech, microbiology, pharmaceuticals
[inst_100089] Thermoscientific Nanodrop Spectrophotometer | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: genomics, microbiology, pharmaceuticals, analytical_chem
[inst_100090] Ion chromatography Dionex ICS 5000 plus SP | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: food_safety, analytical_chem, water_quality
[inst_100091] Automatic Colony Counter - Interscience scan 1200 | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: microbiology, food_safety, diagnostics, pharmaceuticals
[inst_100092] Biorad Thermocycler - pcr | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: genomics, microbiology, diagnostics, food_safety
[inst_100093] PREVI TM Color GRAM Automatic Gram Stainer | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: microbiology, food_safety, diagnostics, pharmaceuticals
[inst_100094] ThermoScientific OrbitrapExploris 120 HRMS | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: food_safety, pharmaceuticals, analytical_chem, microbiology
[inst_100095] Biorad Real Time Thermocycler - RT PCR | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: genomics, microbiology, diagnostics, food_safety
[inst_100096] Ethos Easy Milestone Microwave Digestion System | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: food_safety, analytical_chem, green_chem, soil_analysis
[inst_100097] Automated Bacteria Identification - Biomerieux Vitek 2 compact | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: microbiology, diagnostics, food_safety, pharmaceuticals
[inst_100098] Fully Automated Enumeration System - Biomerieux TEMPO | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: food_safety, microbiology, diagnostics, analytical_chem
[inst_100099] Rapid Food Pathogens Detection Gene Detection System - QIAGEN | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: food_safety, genomics, microbiology, diagnostics
[inst_100100] Dionex Ultimate 3000 HPLC | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: pharmaceuticals, food_safety, analytical_chem, water_quality
[inst_100101] AB Sciex 6500 QTRAP LC-MS-MS system | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: food_safety, analytical_chem, pharmaceuticals, diagnostics
[inst_100102] Thermoscientific GC-MSMS TSQ 9000 | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: food_safety, pharmaceuticals, analytical_chem, water_quality
[inst_100103] Biomerieux VIDAS - Rapid Food Pathogens Detection | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: food_safety, microbiology, diagnostics, analytical_chem
[inst_100104] Waters Synapt xsQ-TOF High Defenition Mass Spectrometry | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: analytical_chem, food_safety, pharmaceuticals, diagnostics
[inst_100105] Differential Scanning Calorimeter DSC 25 | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: polymers, pharmaceuticals, analytical_chem, battery_tech
[inst_100106] TA plus Texture Analyser | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: food_safety, metrology, textiles, polymers
[inst_100107] Perkin Elmer® Clarus® 580 Gas Chromatograph (GC) | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: food_safety, pharmaceuticals, analytical_chem, water_quality
[inst_100108] Perkin Elmer Auto System XL Gas Chromatograph | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: food_safety, analytical_chem, pharmaceuticals, water_quality
[inst_100109] Varian CP-3800 Gas Chromatograph | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: analytical_chem, food_safety, pharmaceuticals, water_quality
[inst_100110] Water’s Supercritical Fluid Extraction (SFE) System | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: analytical_chem, food_safety, pharmaceuticals, green_chem
[inst_100111] Hitachi HPLC-Amino Acid Analyser | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: food_safety, analytical_chem, pharmaceuticals, crop_science
[inst_100112] iBlot 2 Gel Transfer Device | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: genomics, microbiology, cell_culture, pharmaceuticals
[inst_100113] ELISA Microplate Reader and Washer-EPOCH (Biotek instruments) | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: food_safety, pharmaceuticals, microbiology, diagnostics
[inst_100114] Shimadzu Prominence HPLC | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: pharmaceuticals, analytical_chem, food_safety, water_quality
[inst_100115] Fourier Transform Infrared (FTIR) Spectrometer | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: analytical_chem, polymers, surface_science, pharmaceuticals
[inst_100116] Real Time PCR | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: genomics, microbiology, diagnostics, pharmaceuticals
[inst_100117] Fermentor | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: food_safety, microbiology, cell_culture, pharmaceuticals
[inst_100118] Microarray Scanner | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: genomics,microbiology,bioinformatics,diagnostics
[inst_100119] Pulsed Field Gel Electrophoresis | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: microbiology, genomics, diagnostics, food_safety
[inst_100120] Inductively Coupled Plasma Optical Emission Spectrometry | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: analytical_chem, food_safety, water_quality, geosciences
[inst_100121] Ion Chromatograph,  ICS 3000, Dionex | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: analytical_chem, water_quality, food_safety, pharmaceuticals
[inst_100122] LC-MS/MS, 4000 Q Trap, Sciex (2009) | Institute: ICAR-Central Institute of Fisheries Technology | Location: Ernakulam | Tags: analytical_chem, food_safety, pharmaceuticals, diagnostics
[inst_100123] Fourier Transformed Infra - Red Spectrophotometer | Institute: Indian Institute of Technology Palakkad | Location: Palakkad | Tags: analytical_chem, polymers, surface_science, pharmaceuticals
[inst_100124] Automated Flow Chemisorption | Institute: Indian Institute of Technology Palakkad | Location: Palakkad | Tags: analytical_chem, surface_science, nanotech, metallurgy
[inst_100125] Thermogravimetric Analyzer - Differential Thermal Analyzer coupled to Mass Spectrophotometer | Institute: Indian Institute of Technology Palakkad | Location: Palakkad | Tags: analytical_chem, polymers, metallurgy, green_chem
[inst_100126] High Performance Preparative Liquid Chromatograph | Institute: Indian Institute of Technology Palakkad | Location: Palakkad | Tags: pharmaceuticals, analytical_chem, food_safety, water_quality
[inst_100127] Liquid Chromatograph Mass Spectroscopy System | Institute: Indian Institute of Technology Palakkad | Location: Palakkad | Tags: food_safety, pharmaceuticals, analytical_chem, diagnostics
[inst_100128] Gas Chromatograph | Institute: Indian Institute of Technology Palakkad | Location: Palakkad | Tags: analytical_chem, pharmaceuticals, food_safety, water_quality
[inst_100129] Nuclear Magnetic Resonance Spectrometer | Institute: Indian Institute of Technology Palakkad | Location: Palakkad | Tags: pharmaceuticals, analytical_chem, bioinformatics, polymers
[inst_100130] Raman spectrophotometer | Institute: Indian Institute of Technology Palakkad | Location: Palakkad | Tags: analytical_chem, polymers, nanotech, surface_science
[inst_100131] Time-Resolved Spectrofluorometer | Institute: Indian Institute of Technology Palakkad | Location: Palakkad | Tags: analytical_chem, pharmaceuticals, medical_devices, diagnostics
[inst_100132] Non-Contact Optical Profilometry | Institute: Indian Institute of Technology Palakkad | Location: Palakkad | Tags: nanotech, surface_science, metrology, semiconductors
[inst_100133] Universal Hardness Tester | Institute: Indian Institute of Technology Palakkad | Location: Palakkad | Tags: metallurgy, metrology, polymers, surface_science
[inst_100134] Field Emission Scanning Electron Microscopy (FESEM) with EDS, EBSD and Lithography attachment | Institute: Indian Institute of Technology Palakkad | Location: Palakkad | Tags: nanotech, surface_science, semiconductors, analytical_chem
[inst_100135] X- Ray Diffractometer
Home / | Institute: Indian Institute of Technology Palakkad | Location: Palakkad | Tags: nanotech, metallurgy, analytical_chem, geosciences
[inst_100136] CONFOCAL LASER SCANNING MICROSCOPE | Institute: Indian Institute of Technology Palakkad | Location: Palakkad | Tags: cell_culture, microbiology, genomics, diagnostics
[inst_100137] Dynamic Shear Rheometer System | Institute: Indian Institute of Technology Palakkad | Location: Palakkad | Tags: polymers, analytical_chem, metrology
[inst_100138] Variable temperature insert | Institute: Indian Institute of Technology Palakkad | Location: Palakkad | Tags: nanotech, semiconductors, metrology, analytical_chem
[inst_100139] DC Probe Station and Semiconductor Parameter Analyzer | Institute: Indian Institute of Technology Palakkad | Location: Palakkad | Tags: semiconductors, nanotech, metrology, surface_science
[inst_100140] Manual DC Probe Station | Institute: Indian Institute of Technology Palakkad | Location: Palakkad | Tags: semiconductors, nanotech, metrology, analytical_chem
[inst_100141] Manual RF Probe Station | Institute: Indian Institute of Technology Palakkad | Location: Palakkad | Tags: semiconductors, rf_communications, metrology, pcb_design
[inst_100142] Vector Network Analyzer | Institute: Indian Institute of Technology Palakkad | Location: Palakkad | Tags: pcb_design, rf_communications, semiconductors, metrology
[inst_100143] Signal Analyzer | Institute: Indian Institute of Technology Palakkad | Location: Palakkad | Tags: rf_communications, semiconductors, metrology, analytical_chem
[inst_100144] Analog Microwave Signal Generator | Institute: Indian Institute of Technology Palakkad | Location: Palakkad | Tags: rf_communications, semiconductors, metrology
[inst_100145] Wire Thermionic Bonder | Institute: Indian Institute of Technology Palakkad | Location: Palakkad | Tags: semiconductors, pcb_design, nanotech, metrology
[inst_100146] 64-channel Electroencephalograph (EEG) Data Acquisition System | Institute: Indian Institute of Technology Palakkad | Location: Palakkad | Tags: medical_devices, diagnostics
[inst_100147] Polypropylene Fume Hoods | Institute: Indian Institute of Technology Palakkad | Location: Palakkad | Tags: nanotech, semiconductors, analytical_chem, polymers
[inst_100148] Deionized (DI) Water Plant | Institute: Indian Institute of Technology Palakkad | Location: Palakkad | Tags: water_quality, analytical_chem, nanotech, semiconductors
[inst_100149] Sputtering System | Institute: Indian Institute of Technology Palakkad | Location: Palakkad | Tags: nanotech, semiconductors, surface_science, additive_mfg
[inst_100150] Mask Aligner | Institute: Indian Institute of Technology Palakkad | Location: Palakkad | Tags: semiconductors, nanotech, metrology, surface_science
[inst_100151] PCB Prototyping Machine | Institute: Indian Institute of Technology Palakkad | Location: Palakkad | Tags: pcb_design, semiconductors, additive_mfg, metrology
[inst_100152] Thermal Evaporator | Institute: Indian Institute of Technology Palakkad | Location: Palakkad | Tags: nanotech, semiconductors, surface_science, solar_energy
[inst_100153] High Resolution optical microscope | Institute: Indian Institute of Technology Palakkad | Location: Palakkad | Tags: nanotech, surface_science, metrology, analytical_chem
[inst_100154] Fourier Transformed Infra - Red Spectrophotometer | Institute: Indian Institute of Technology Palakkad | Location: Palakkad | Tags: analytical_chem, polymers, surface_science, pharmaceuticals
[inst_100155] Automated Flow Chemisorption | Institute: Indian Institute of Technology Palakkad | Location: Palakkad | Tags: surface_science, analytical_chem, nanotech, metallurgy
[inst_100156] Thermogravimetric Analyzer - Differential Thermal Analyzer coupled to Mass Spectrophotometer | Institute: Indian Institute of Technology Palakkad | Location: Palakkad | Tags: analytical_chem, polymers, pharmaceuticals, metallurgy
[inst_100157] High Performance Preparative Liquid Chromatograph | Institute: Indian Institute of Technology Palakkad | Location: Palakkad | Tags: pharmaceuticals, analytical_chem, food_safety
[inst_100158] Liquid Chromatograph Mass Spectroscopy System | Institute: Indian Institute of Technology Palakkad | Location: Palakkad | Tags: pharmaceuticals, analytical_chem, food_safety, diagnostics
[inst_100159] Gas Chromatograph | Institute: Indian Institute of Technology Palakkad | Location: Palakkad | Tags: analytical_chem, pharmaceuticals, food_safety, environmental_testing
[inst_100160] Nuclear Magnetic Resonance Spectrometer | Institute: Indian Institute of Technology Palakkad | Location: Palakkad | Tags: pharmaceuticals, polymers, analytical_chem, bioinformatics
[inst_100161] Raman spectrophotometer | Institute: Indian Institute of Technology Palakkad | Location: Palakkad | Tags: nanotech, surface_science, analytical_chem, pharmaceuticals
[inst_100162] Time-Resolved Spectrofluorometer | Institute: Indian Institute of Technology Palakkad | Location: Palakkad | Tags: pharmaceuticals, analytical_chem, diagnostics, medical_devices
[inst_100163] Non-Contact Optical Profilometry | Institute: Indian Institute of Technology Palakkad | Location: Palakkad | Tags: nanotech, surface_science, semiconductors, metrology
[inst_100164] Universal Hardness Tester | Institute: Indian Institute of Technology Palakkad | Location: Palakkad | Tags: metallurgy, polymers, textiles, metrology
[inst_100165] Field Emission Scanning Electron Microscopy (FESEM) with EDS, EBSD and Lithography attachment | Institute: Indian Institute of Technology Palakkad | Location: Palakkad | Tags: nanotech, surface_science, semiconductors, metallurgy
[inst_100166] X- Ray Diffractometer
Home / | Institute: Indian Institute of Technology Palakkad | Location: Palakkad | Tags: nanotech, metallurgy, analytical_chem, geosciences
[inst_100167] CONFOCAL LASER SCANNING MICROSCOPE | Institute: Indian Institute of Technology Palakkad | Location: Palakkad | Tags: cell_culture, microbiology, genomics, diagnostics
[inst_100168] Dynamic Shear Rheometer System | Institute: Indian Institute of Technology Palakkad | Location: Palakkad | Tags: polymers, analytical_chem, metrology
[inst_100169] Variable temperature insert | Institute: Indian Institute of Technology Palakkad | Location: Palakkad | Tags: nanotech, surface_science, semiconductors, battery_tech
